id,category,category_slug,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,points,time_limit,explanation,tags
cmr-0001,Cameroun,cameroun,moyen,Quelle personnalite camerounaise est connue pour avoir cree une startup camerounaise de drones civils ?,Ernest Ouandie,William Elong,Le sultan Njoya,Churchill Mambe,B,200,25,Il s'agit de William Elong.,"cameroun,personnalites"
cmr-0002,Cameroun,cameroun,moyen,Le departement du Mvila appartient a quelle region ?,Centre,Nord-Ouest,Sud,Sud-Ouest,C,200,25,Le Mvila se situe dans la region : Sud.,"cameroun,geographie,departements"
cmr-0003,Cameroun,cameroun,moyen,Dans quel secteur d'activite intervient Kiro'o Games ?,Les eaux minerales,La telephonie mobile,Les telecommunications,Le jeu video,D,200,25,Kiro'o Games est le studio camerounais createur d'Aurion.,"cameroun,economie,entreprises"
cmr-0004,Cameroun,cameroun,challenge,Quel est le chef-lieu du departement du Djerem ?,Tchollire,Tibati,Bafia,Garoua,B,300,30,"Tibati est le chef-lieu du Djerem, dans la region : Adamaoua.","cameroun,geographie,departements"
cmr-0005,Cameroun,cameroun,moyen,Dans quel secteur d'activite intervient Nexttel ?,Les telecommunications,La telephonie mobile,Le raffinage petrolier,L'agroalimentaire,B,200,25,Nexttel est le troisieme operateur mobile du pays.,"cameroun,economie,entreprises"
cmr-0006,Cameroun,cameroun,moyen,Dans quel secteur d'activite intervient Express Union ?,L'agro-industrie,Le transfert d'argent,La distribution de carburants,Les eaux minerales,B,200,25,Express Union est un reseau camerounais de transfert d'argent.,"cameroun,economie,entreprises"
cmr-0007,Cameroun,cameroun,facile,Quel animal emblematique peut-on observer au parc de Waza ?,Le pingouin,L'ours polaire,Le kangourou,L'elephant,D,100,20,"Waza abrite elephants, lions et antilopes.","cameroun,divers"
cmr-0008,Cameroun,cameroun,facile,Quel est le chef-lieu de la region de l'Extreme-Nord ?,Ebolowa,Yaounde,Ngaoundere,Maroua,D,100,20,Maroua est le chef-lieu de la region de l'Extreme-Nord.,"cameroun,geographie,regions"
cmr-0009,Cameroun,cameroun,challenge,Quel est le chef-lieu du departement du Moungo ?,Ambam,Akonolinga,Banyo,Nkongsamba,D,300,30,"Nkongsamba est le chef-lieu du Moungo, dans la region : Littoral.","cameroun,geographie,departements"
cmr-0010,Cameroun,cameroun,challenge,Quel age avait Roger Milla lorsqu'il a marque a la Coupe du monde 1994 ?,48 ans,32 ans,36 ans,42 ans,D,300,30,Il reste le plus vieux buteur de l'histoire de la Coupe du monde.,"cameroun,personnalites,sport,culture"
cmr-0011,Cameroun,cameroun,moyen,Dans quel domaine Vincent Aboubakar s'est-il ou s'est-elle illustre(e) ?,Le cinema,Le football,La politique,L'athletisme,B,200,25,Vincent Aboubakar est connu(e) pour avoir inscrit le but victorieux de la CAN 2017.,"cameroun,personnalites"
cmr-0012,Cameroun,cameroun,moyen,Le departement du Faro-et-Deo appartient a quelle region ?,Littoral,Nord,Sud,Adamaoua,D,200,25,Le Faro-et-Deo se situe dans la region : Adamaoua.,"cameroun,geographie,departements"
cmr-0013,Cameroun,cameroun,moyen,Dans quelle region du Cameroun les Toupouri sont-ils principalement etablis ?,Le Littoral,Le Sud-Ouest,L'Extreme-Nord,Le Centre,C,200,25,Les Toupouri vivent principalement dans cette region.,"cameroun,peuples,langues"
cmr-0014,Cameroun,cameroun,moyen,Le departement du Mayo-Danay appartient a quelle region ?,Littoral,Extreme-Nord,Adamaoua,Sud-Ouest,B,200,25,Le Mayo-Danay se situe dans la region : Extreme-Nord.,"cameroun,geographie,departements"
cmr-0015,Cameroun,cameroun,moyen,Dans quelle region du Cameroun se trouve la ville de Monatele ?,Nord-Ouest,Centre,Sud-Ouest,Ouest,B,200,25,Monatele est situee dans la region : Centre.,"cameroun,geographie,villes"
cmr-0016,Cameroun,cameroun,moyen,Dans quel secteur d'activite intervient la SOSUCAM ?,Les telecommunications,Les hydrocarbures,Le sucre,Le transfert d'argent,C,200,25,La SOSUCAM est la societe sucriere implantee a Mbandjock et Nkoteng.,"cameroun,economie,entreprises"
cmr-0017,Cameroun,cameroun,challenge,Quel est le chef-lieu du departement du Faro ?,Banyo,Mokolo,Poli,Tchollire,C,300,30,"Poli est le chef-lieu du Faro, dans la region : Nord.","cameroun,geographie,departements"
cmr-0018,Cameroun,cameroun,challenge,Dans quelle ville se trouve le siege de la BEAC ?,Douala,Libreville,Bangui,Yaounde,D,300,30,Le siege de la BEAC est a Yaounde.,"cameroun,institutions,symboles"
cmr-0019,Cameroun,cameroun,moyen,Le departement du Wouri appartient a quelle region ?,Centre,Littoral,Adamaoua,Extreme-Nord,B,200,25,Le Wouri se situe dans la region : Littoral.,"cameroun,geographie,departements"
cmr-0020,Cameroun,cameroun,challenge,Quel est le chef-lieu du departement du Logone-et-Chari ?,Menji,Maroua,Kousseri,Poli,C,300,30,"Kousseri est le chef-lieu du Logone-et-Chari, dans la region : Extreme-Nord.","cameroun,geographie,departements"
cmr-0021,Cameroun,cameroun,moyen,Quelle industrie d'Edea transforme l'alumine importee en aluminium ?,CAMRAIL,SOSUCAM,CICAM,ALUCAM,D,200,25,ALUCAM profite de l'energie du barrage de Song Loulou.,"cameroun,economie"
cmr-0022,Cameroun,cameroun,moyen,Quel surnom porte l'equipe nationale feminine de football du Cameroun ?,Les Etoiles,Les Lionnes Indomptables,Les Panthers,Les Gazelles,B,200,25,Les Lionnes Indomptables ont dispute plusieurs Coupes du monde.,"cameroun,personnalites,sport,culture"
cmr-0023,Cameroun,cameroun,facile,Quelle entreprise camerounaise correspond a cette description : un operateur mobile et de mobile money ?,la BICEC,Orange Cameroun,Afriland First Bank,Chococam,B,100,20,Il s'agit de Orange Cameroun.,"cameroun,economie,entreprises"
cmr-0024,Cameroun,cameroun,challenge,Que designe la marque camerounaise Camtel Blue ?,Un service de telecommunication,Une biere,Une pate a tartiner,Une boisson maltee sans alcool,A,300,30,Camtel Blue : il est propose par l'operateur historique CAMTEL.,"cameroun,marques"
cmr-0025,Cameroun,cameroun,facile,Le mont Cameroun est un volcan situe dans quelle region ?,Le Sud-Ouest,L'Ouest,Le Nord-Ouest,Le Littoral,A,100,20,"Il domine la ville de Buea, dans le departement du Fako.","cameroun,geographie"
cmr-0026,Cameroun,cameroun,challenge,Quelle personnalite camerounaise est connue pour avoir conduit le Southern Cameroons vers la reunification de 1961 ?,Eric Maxim Choupo-Moting,John Ngu Foncha,Locko,Jean-Marie Teno,B,300,30,Il s'agit de John Ngu Foncha.,"cameroun,personnalites"
cmr-0027,Cameroun,cameroun,facile,Dans quel secteur d'activite intervient ENEO ?,La protection sociale,Le raffinage petrolier,La telephonie mobile,L'electricite,D,100,20,ENEO est le principal distributeur d'electricite du pays.,"cameroun,economie,entreprises"
cmr-0028,Cameroun,cameroun,challenge,Dans quelle partie du Cameroun l'igname est-il ou est-elle principalement cultive(e) ?,L'Adamaoua,Le Grand Nord,Le Littoral et le Sud-Ouest,Le Centre,B,300,30,Pour l'igname : elle est notamment cultivee autour de Tibati et du Mbam.,"cameroun,economie,agriculture"
cmr-0029,Cameroun,cameroun,moyen,Combien de departements compte la region : Nord ?,4,3,7,5,A,200,25,La region : Nord compte 4 departements.,"cameroun,geographie,regions"
cmr-0030,Cameroun,cameroun,moyen,Quel stade de Yaounde a accueilli des matchs de la CAN 2021 ?,Le stade Reunification de Douala,Le stade de Limbe uniquement,Le stade de Bafoussam uniquement,Le stade Olembe,D,200,25,"Le stade Olembe, aussi appele stade Paul Biya.","cameroun,personnalites,sport,culture"
cmr-0031,Cameroun,cameroun,challenge,Dans quel domaine James Onobiono s'est-il ou s'est-elle illustre(e) ?,La mode,Le football,Les affaires et l'entrepreneuriat,La politique,C,300,30,James Onobiono est connu(e) pour avoir dirige un grand groupe industriel camerounais.,"cameroun,personnalites"
cmr-0032,Cameroun,cameroun,challenge,Quel est le chef-lieu du departement du Ngo-Ketunjia ?,Wum,Bangangte,Kribi,Ndop,D,300,30,"Ndop est le chef-lieu du Ngo-Ketunjia, dans la region : Nord-Ouest.","cameroun,geographie,departements"
cmr-0033,Cameroun,cameroun,moyen,Dans quel domaine Ben Decca s'est-il ou s'est-elle illustre(e) ?,La musique,Le football,La politique,L'athletisme,A,200,25,Ben Decca est connu(e) pour etre une grande voix du makossa.,"cameroun,personnalites"
cmr-0034,Cameroun,cameroun,challenge,Quelle personnalite camerounaise est connue pour avoir represente le Cameroun en saut ?,Hortense Bewouda,Werewere Liking,Roger Milla,Daphne,A,300,30,Il s'agit de Hortense Bewouda.,"cameroun,personnalites"
cmr-0035,Cameroun,cameroun,moyen,Ou se situe la Republique centrafricaine par rapport au Cameroun ?,au sud-est,a l'est,au sud,au nord-est,B,200,25,La Republique centrafricaine borde le Cameroun a l'est.,"cameroun,geographie,frontieres"
cmr-0036,Cameroun,cameroun,facile,Que signifie l'expression portugaise Rio dos Camaroes a l'origine du nom Cameroun ?,La baie des palmiers,La riviere des crevettes,Le fleuve des lions,Le port des epices,B,100,20,Les Portugais avaient trouve le Wouri rempli de crevettes.,"cameroun,histoire"
cmr-0037,Cameroun,cameroun,moyen,De quelle ville camerounaise le club de football Tonnerre Kalara Club est-il originaire ?,Yaounde,Ngoumou,Limbe,Baham,A,200,25,"Tonnerre Kalara Club est base a Yaounde, dans la region : Le Centre.","cameroun,sport"
cmr-0038,Cameroun,cameroun,moyen,De quelle region du Cameroun l'achu est-il originaire ou le plus consomme ?,L'Est,Le Nord-Ouest,L'Ouest,Le Nord,B,200,25,L'achu est surtout associe a cette region.,"cameroun,gastronomie"
cmr-0039,Cameroun,cameroun,moyen,Quelle est la premiere universite creee au Cameroun ?,L'Universite de Buea,L'Universite de Douala,L'Universite de Yaounde,L'Universite de Dschang,C,200,25,L'Universite federale de Yaounde a ete creee en 1962.,"cameroun,culture"
cmr-0040,Cameroun,cameroun,challenge,Quel est le chef-lieu du departement du Hauts-Plateaux ?,Poli,Yokadouma,Baham,Kumba,C,300,30,"Baham est le chef-lieu du Hauts-Plateaux, dans la region : Ouest.","cameroun,geographie,departements"
cmr-0041,Cameroun,cameroun,moyen,Dans quelle region du Cameroun les Ewondo sont-ils principalement etablis ?,L'Ouest,L'Adamaoua,Le Centre,L'Est,C,200,25,Les Ewondo vivent principalement dans cette region.,"cameroun,peuples,langues"
cmr-0042,Cameroun,cameroun,challenge,Dans quel domaine Werewere Liking s'est-il ou s'est-elle illustre(e) ?,La technologie,La lutte contre la colonisation,Le cinema,La litterature,D,300,30,"Werewere Liking est connu(e) pour etre ecrivaine, dramaturge et fondatrice du village Ki-Yi.","cameroun,personnalites"
cmr-0043,Cameroun,cameroun,facile,Quelle affirmation est exacte a propos du plantain au Cameroun ?,"En resume, il beneficie d'une indication geographique protegee","En resume, elle est notamment cultivee autour de Tibati et du Mbam","En resume, il est encadre par la SODECOTON","En resume, il accompagne de nombreux plats camerounais",D,100,20,Pour le plantain : il accompagne de nombreux plats camerounais.,"cameroun,economie,agriculture"
cmr-0044,Cameroun,cameroun,facile,Quel grand lac borde l'extreme nord du Cameroun ?,Le lac Victoria,Le lac Tanganyika,Le lac Kivu,Le lac Tchad,D,100,20,Le Cameroun est l'un des quatre pays riverains du lac Tchad.,"cameroun,geographie"
cmr-0045,Cameroun,cameroun,moyen,Quelle organisation patronale regroupe les grandes entreprises camerounaises ?,L'ARMP,Le GICAM,Le SYNDUSTRICAM uniquement,La CONAC,B,200,25,Le Groupement inter-patronal du Cameroun.,"cameroun,institutions,symboles"
cmr-0046,Cameroun,cameroun,moyen,Quelles sont les trois regions septentrionales du Cameroun ?,"Est, Nord et Littoral","Adamaoua, Nord et Extreme-Nord","Adamaoua, Est et Sud","Nord, Ouest et Centre",B,200,25,"Le Grand Nord regroupe l'Adamaoua, le Nord et l'Extreme-Nord.","cameroun,geographie"
cmr-0047,Cameroun,cameroun,moyen,Dans quelle region du Cameroun les Mafa sont-ils principalement etablis ?,L'Est,L'Extreme-Nord,Le Centre,Le Sud-Ouest,B,200,25,Les Mafa vivent principalement dans cette region.,"cameroun,peuples,langues"
cmr-0048,Cameroun,cameroun,challenge,Combien d'universites d'Etat le Cameroun compte-t-il aujourd'hui ?,Onze,Vingt,Trois,Six,A,300,30,"Aux huit universites historiques se sont ajoutees Bertoua, Ebolowa et Garoua.","cameroun,culture"
cmr-0049,Cameroun,cameroun,moyen,"Quelle personnalite camerounaise est connue pour avoir ete un gardien legendaire, double Ballon d'or africain ?",Ruben Um Nyobe,Arthur Zang,Salatiel,Thomas N'Kono,D,200,25,Il s'agit de Thomas N'Kono.,"cameroun,personnalites"
cmr-0050,Cameroun,cameroun,facile,Quelle langue officielle est la plus parlee dans la region du Centre ?,L'arabe,L'espagnol,Le francais,Le portugais,C,100,20,Le Centre est une region francophone.,"cameroun,culture-generale"
cmr-0051,Cameroun,cameroun,moyen,Dans quelle region du Cameroun se trouve la ville de Idenau ?,Adamaoua,Sud-Ouest,Littoral,Ouest,B,200,25,Idenau est situee dans la region : Sud-Ouest.,"cameroun,geographie,villes"
cmr-0052,Cameroun,cameroun,moyen,Quel est l'ingredient principal utilise pour preparer le miondo ?,"la morelle noire, un legume-feuille",le manioc fermente en petits batons,la seve du palmier,les feuilles de gnetum,B,200,25,Le miondo se prepare avec le manioc fermente en petits batons.,"cameroun,gastronomie"
cmr-0053,Cameroun,cameroun,challenge,De quelle region du Cameroun le bongo chobi est-il originaire ou le plus consomme ?,Le Nord,L'Ouest,Le Littoral,Le Centre,C,300,30,Le bongo chobi est surtout associe a cette region.,"cameroun,gastronomie"
cmr-0054,Cameroun,cameroun,moyen,Le departement du Boumba-et-Ngoko appartient a quelle region ?,Nord,Est,Ouest,Littoral,B,200,25,Le Boumba-et-Ngoko se situe dans la region : Est.,"cameroun,geographie,departements"
cmr-0055,Cameroun,cameroun,facile,La ville de Maroua est le chef-lieu de quelle region du Cameroun ?,Littoral,Extreme-Nord,Adamaoua,Sud,B,100,20,Maroua est le chef-lieu de la region : Extreme-Nord.,"cameroun,geographie,regions"
cmr-0056,Cameroun,cameroun,moyen,Comment s'appelait le Cameroun a l'epoque de la colonisation allemande ?,Neu-Afrika,Kamerun,Deutsch-Guinea,Kamerland,B,200,25,Le territoire etait nomme Kamerun.,"cameroun,histoire"
cmr-0057,Cameroun,cameroun,challenge,Quel primate rare vit dans les forets du Sud-Ouest camerounais ?,Le panda,Le gorille de la Cross River,L'orang-outan,Le lemurien,B,300,30,Le gorille de la Cross River est menace d'extinction.,"cameroun,divers"
cmr-0058,Cameroun,cameroun,moyen,De quelle region du Cameroun le mbongo tchobi est-il originaire ou le plus consomme ?,Le Sud,Le Littoral,L'Extreme-Nord,Le Nord,B,200,25,Le mbongo tchobi est surtout associe a cette region.,"cameroun,gastronomie"
cmr-0059,Cameroun,cameroun,moyen,Dans quelle region du Cameroun se trouve la ville de Banyo ?,Sud,Extreme-Nord,Adamaoua,Sud-Ouest,C,200,25,Banyo est situee dans la region : Adamaoua.,"cameroun,geographie,villes"
cmr-0060,Cameroun,cameroun,challenge,Quel est le chef-lieu du departement du Bui ?,Mokolo,Kumbo,Kaele,Douala,B,300,30,"Kumbo est le chef-lieu du Bui, dans la region : Nord-Ouest.","cameroun,geographie,departements"
cmr-0061,Cameroun,cameroun,moyen,Dans quelle region du Cameroun se trouve la ville de Dschang ?,Ouest,Est,Nord-Ouest,Nord,A,200,25,Dschang est situee dans la region : Ouest.,"cameroun,geographie,villes"
cmr-0062,Cameroun,cameroun,moyen,Dans quelle region du Cameroun se trouve la ville de Tignere ?,Ouest,Sud,Centre,Adamaoua,D,200,25,Tignere est situee dans la region : Adamaoua.,"cameroun,geographie,villes"
cmr-0063,Cameroun,cameroun,moyen,Quelle affirmation est exacte a propos du poivre de Penja au Cameroun ?,"En resume, il pousse sur les hautes terres","En resume, il sert a preparer bobolo, gari et miondo","En resume, il pousse en zone chaude et humide","En resume, il beneficie d'une indication geographique protegee",D,200,25,Pour le poivre de Penja : il beneficie d'une indication geographique protegee.,"cameroun,economie,agriculture"
cmr-0064,Cameroun,cameroun,challenge,Quel est le chef-lieu du departement du Mfoundi ?,Mfou,Dschang,Wum,Yaounde,D,300,30,"Yaounde est le chef-lieu du Mfoundi, dans la region : Centre.","cameroun,geographie,departements"
cmr-0065,Cameroun,cameroun,facile,Quelle ville du Nord-Ouest est la plus grande de sa region ?,Ndop,Kumbo,Bamenda,Wum,C,100,20,Bamenda est le chef-lieu du Nord-Ouest.,"cameroun,culture-generale"
cmr-0066,Cameroun,cameroun,challenge,Quels deux produits camerounais beneficient d'une indication geographique protegee reconnue ?,Le poivre de Penja et le miel blanc d'Oku,Le cacao de Kribi et le the de Buea,Le safou de Bafia et l'ananas de Loum,Le riz de Yagoua et le mais de Ndop,A,300,30,Ces deux produits ont obtenu une IGP reconnue a l'international.,"cameroun,economie"
cmr-0067,Cameroun,cameroun,moyen,Quel service national assure la distribution du courrier au Cameroun ?,CAMRAIL,CAMWATER,CAMPOST,CAMTEL,C,200,25,La Cameroon Postal Services gere le courrier.,"cameroun,divers"
cmr-0068,Cameroun,cameroun,facile,Quelle entreprise fournit l'eau potable dans les villes camerounaises ?,CAMPOST,ENEO,CAMWATER,CAMTEL,C,100,20,CAMWATER assure la production et la distribution d'eau.,"cameroun,culture-generale"
cmr-0069,Cameroun,cameroun,facile,Dans quel secteur d'activite intervient MTN Cameroon ?,La distribution et la quincaillerie,Le transport ferroviaire,Les telecommunications,La telephonie mobile,D,100,20,MTN Cameroon est un operateur mobile et de mobile money.,"cameroun,economie,entreprises"
cmr-0070,Cameroun,cameroun,challenge,Quelle personnalite camerounaise est connue pour avoir fonde Afriland First Bank ?,Paul Kammogne Fokam,Vincent Aboubakar,William Elong,Martin-Paul Samba,A,300,30,Il s'agit de Paul Kammogne Fokam.,"cameroun,personnalites"
cmr-0071,Cameroun,cameroun,facile,Quelle ville est consideree comme la capitale economique du Cameroun ?,Bamenda,Kribi,Yaounde,Douala,D,100,20,"Douala concentre le port, les industries et les sieges d'entreprises.","cameroun,economie"
cmr-0072,Cameroun,cameroun,challenge,Quel est le chef-lieu du departement du Mefou-et-Akono ?,Bamenda,Kribi,Ngoumou,Kaele,C,300,30,"Ngoumou est le chef-lieu du Mefou-et-Akono, dans la region : Centre.","cameroun,geographie,departements"
