id,category,category_slug,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,points,time_limit,explanation,tags
inn-0001,Innovation & IA,innovation-ia,facile,Pourquoi un entrepreneur doit-il tester une technologie avant de la generaliser ?,Pour verifier qu'elle fonctionne dans son contexte reel et qu'elle est adoptee,Pour retarder son projet,Pour eviter d'apprendre,Pour depenser davantage,A,100,20,Le test en conditions reelles evite les mauvaises surprises.,"innovation,comprehension"
inn-0002,Innovation & IA,innovation-ia,facile,A quoi sert principalement un traitement de texte ?,Rediger et mettre en forme des documents,Echanger des messages en temps reel,Conserver et partager des fichiers accessibles partout,Editer et suivre les factures clients,A,100,20,Un traitement de texte sert a : rediger et mettre en forme des documents.,"innovation,outils"
inn-0003,Innovation & IA,innovation-ia,facile,"Dans le monde numerique, que designe un abonnement mensuel ?",Un paiement recurrent qui donne acces a un service,Le plan des evolutions prevues pour un service numerique,Une structure qui heberge et accompagne de jeunes entreprises innovantes,Un dispositif qui recompense les achats repetes via une application,A,100,20,Un abonnement mensuel : un paiement recurrent qui donne acces a un service.,"innovation,glossaire"
inn-0004,Innovation & IA,innovation-ia,facile,Quel terme correspond a cette definition : Un espace de rangement qui regroupe des fichiers ?,le numerique responsable,un service de livraison connecte,un dossier,un service a la demande,C,100,20,Il s'agit d'un dossier.,"innovation,glossaire"
inn-0005,Innovation & IA,innovation-ia,challenge,Quel service correspond a cette activite : La recherche d'emploi en ligne ?,Healthlane,Njorku,Diool,Yoco,B,300,30,Njorku correspond a cette activite.,"innovation,afrique"
inn-0006,Innovation & IA,innovation-ia,challenge,"Dans le monde numerique, que designe un modele de langage ?",Un systeme entraine sur de grands volumes de textes pour comprendre et produire du langage,Une application qui organise et suit les livraisons en temps reel,Une suite de barres lisible par un scanner pour identifier un produit,Le fait de dupliquer un equipement ou une donnee pour eviter une interruption,A,300,30,Un modele de langage : un systeme entraine sur de grands volumes de textes pour comprendre et produire du langage.,"innovation,glossaire"
inn-0007,Innovation & IA,innovation-ia,moyen,Quel est le principal benefice de cette demarche : consulter un medecin depuis un village eloigne ?,Reduire les rendez-vous manques,Repondre plus vite et a toute heure,Acceder aux soins sans long deplacement,Gagner du temps de lecture,C,200,25,Le gain principal : acceder aux soins sans long deplacement.,"innovation,usages"
inn-0008,Innovation & IA,innovation-ia,challenge,Dans quel domaine Grace Hopper a-t-il ou a-t-elle laisse sa marque ?,L'informatique,L'imprimerie,L'energie,La programmation,D,300,30,Grace Hopper a marque ce domaine : La programmation.,"innovation,histoire"
inn-0009,Innovation & IA,innovation-ia,facile,A quelle categorie d'outils appartient une application de messagerie instantanee ?,La gestion,La communication,Le stockage,La creation,B,100,20,Une application de messagerie instantanee appartient a cette categorie : la communication.,"innovation,outils"
inn-0010,Innovation & IA,innovation-ia,challenge,Quel terme correspond a cette definition : Un logiciel malveillant qui bloque les donnees et reclame une rancon ?,le e-commerce,la synchronisation,un rancongiciel,un algorithme,C,300,30,Il s'agit d'un rancongiciel.,"innovation,glossaire"
inn-0011,Innovation & IA,innovation-ia,facile,"Dans le monde numerique, que designe la cybersecurite ?",La reduction de l'impact environnemental des usages numeriques,Une machine programmable capable d'executer des taches physiques,L'ensemble des moyens qui protegent les systemes et les donnees contre les attaques,Le composant specialise dans le traitement des images,C,100,20,La cybersecurite : l'ensemble des moyens qui protegent les systemes et les donnees contre les attaques.,"innovation,glossaire"
inn-0012,Innovation & IA,innovation-ia,moyen,"Dans le monde numerique, que designe une documentation utilisateur ?",Un defaut de fonctionnement dans un programme,La reduction de l'impact environnemental des usages numeriques,Le guide expliquant comment utiliser un outil,Un site qui met en relation de nombreux vendeurs et acheteurs,C,200,25,Une documentation utilisateur : le guide expliquant comment utiliser un outil.,"innovation,glossaire"
inn-0013,Innovation & IA,innovation-ia,moyen,"Dans le monde numerique, que designe l'innovation incrementale ?",L'usage de l'intelligence artificielle dans le respect des personnes et de la loi,"Une periode ou le service est accessible sans payer, pour le tester",L'usage de donnees et de capteurs pour optimiser les cultures,Une amelioration progressive d'un produit ou service existant,D,200,25,L'innovation incrementale : une amelioration progressive d'un produit ou service existant.,"innovation,glossaire"
