id,category,category_slug,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,points,time_limit,explanation,tags
mix-0001,Challenge Mixte,mixte,moyen,Dans quel secteur d'activite Econet Wireless s'est-elle developpee ?,Les paiements en ligne,Les telecommunications,La chaussure ecologique,L'electronique grand public,B,200,25,Econet Wireless intervient dans : les telecommunications.,"mixte,entrepreneuriat,figures"
mix-0002,Challenge Mixte,mixte,facile,Quel role joue la microfinance pour les petits entrepreneurs ?,Offrir des credits et de l'epargne adaptes aux petites activites,Remplacer l'administration fiscale,Financer uniquement les multinationales,Distribuer des subventions internationales,A,100,20,La microfinance sert les exclus du systeme bancaire classique.,"mixte,entrepreneuriat,financement"
mix-0003,Challenge Mixte,mixte,moyen,De quelle region du Cameroun l'okok est-il originaire ou le plus consomme ?,Le Centre,L'Extreme-Nord,Le Nord,Le Sud,D,200,25,L'okok est surtout associe a cette region.,"mixte,cameroun,gastronomie"
mix-0004,Challenge Mixte,mixte,moyen,A quel besoin repond principalement cette solution : La reconnaissance vocale ?,Recommander des produits complementaires a un acheteur en ligne,Comprendre pourquoi les visiteurs quittent un site sans acheter,Transcrire automatiquement une reunion en compte rendu,Prevoir les ventes de la saison prochaine,C,200,25,La reconnaissance vocale sert notamment a transcrire automatiquement une reunion en compte rendu.,"mixte,innovation,usages"
mix-0005,Challenge Mixte,mixte,moyen,"Qui est a l'origine de cette avancee : le Cardiopad, tablette d'examen cardiaque ?",Verone Mankou,John McCarthy,Arthur Zang,Alexander Graham Bell,C,200,25,Il s'agit de Arthur Zang.,"mixte,innovation,histoire"
mix-0006,Challenge Mixte,mixte,moyen,Quel impot libere les petites entreprises camerounaises de faible chiffre d'affaires ?,L'impot libératoire,L'impot sur les societes,La taxe fonciere,La taxe d'apprentissage,A,200,25,L'impot libératoire vise les tres petites activites.,"mixte,cameroun,economie"
mix-0007,Challenge Mixte,mixte,challenge,Dans quel domaine Ajara Nchout s'est-il ou s'est-elle illustre(e) ?,Les affaires et l'entrepreneuriat,La politique,Le football,L'athletisme,C,300,30,Ajara Nchout est connu(e) pour avoir marque des buts decisifs avec les Lionnes Indomptables en Coupe du monde.,"mixte,cameroun,personnalites"
mix-0008,Challenge Mixte,mixte,facile,Quelle question un entrepreneur doit-il se poser en premier avant de creer son produit ?,Quelle sera la couleur de mon logo ?,"Quel probleme reel est-ce que je resous, et pour qui ?",Combien de bureaux vais-je louer ?,Quel nom sonne le mieux en anglais ?,B,100,20,Le probleme client precede la solution.,"mixte,entrepreneuriat,marketing"
mix-0009,Challenge Mixte,mixte,moyen,Que finance-t-on avec un credit de tresorerie ?,Les besoins courants a court terme,Une acquisition d'entreprise,La construction d'une usine,L'achat d'un terrain,A,200,25,Le credit de tresorerie couvre les decalages de court terme.,"mixte,entrepreneuriat,financement"
mix-0010,Challenge Mixte,mixte,moyen,Ou se situe la Republique centrafricaine par rapport au Cameroun ?,au sud-est,a l'est,au sud,au nord-est,B,200,25,La Republique centrafricaine borde le Cameroun a l'est.,"mixte,cameroun,geographie,frontieres"
