id,category,category_slug,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,points,time_limit,explanation,tags
ent-0001,Entrepreneuriat,entrepreneuriat,facile,Comment appelle-t-on ceci : Le processus de recherche et de selection des collaborateurs ?,le recrutement,un cout variable,une promotion,une tontine,A,100,20,Il s'agit du recrutement.,"entrepreneuriat,glossaire"
ent-0002,Entrepreneuriat,entrepreneuriat,moyen,Qu'est-ce qu'un outil no-code apporte a un entrepreneur ?,Garantir des clients,Remplacer la comptabilite,Creer un site ou une application sans savoir programmer,Supprimer les impots,C,200,25,Le no-code accelere le prototypage.,"entrepreneuriat,digital"
ent-0003,Entrepreneuriat,entrepreneuriat,moyen,Un article coute 150 000 FCFA. Le vendeur accorde une remise de 5 %. Quel est le prix a payer ?,150 000 FCFA,157 500 FCFA,7 500 FCFA,142 500 FCFA,D,200,25,Prix remise = 150 000 FCFA x (1 - 5/100) = 142 500 FCFA.,"entrepreneuriat,calcul,prix"
ent-0004,Entrepreneuriat,entrepreneuriat,challenge,"Un entrepreneur emprunte 1 500 000 FCFA sur 18 mois, avec un interet simple de 10 % par an. Quelle est approximativement la mensualite a rembourser ?",12 500 FCFA,95 833 FCFA,191 667 FCFA,83 333 FCFA,B,300,30,"Total du = 1 500 000 FCFA + 225 000 FCFA d'interets, soit 95 833 FCFA par mois.","entrepreneuriat,calcul,financement"
ent-0005,Entrepreneuriat,entrepreneuriat,moyen,Que signifie le sigle B2C dans le monde de l'entreprise ?,Caisse Nationale de Prevoyance Sociale,Vente d'entreprise a particulier,Retour sur Investissement,Fonds National de l'Emploi,B,200,25,B2C : Vente d'entreprise a particulier.,"entrepreneuriat,sigles"
ent-0006,Entrepreneuriat,entrepreneuriat,facile,Comment appelle-t-on ceci : La presentation courte et convaincante d'un projet ?,le pitch,un contrat,l'internationalisation,un echeancier,A,100,20,Il s'agit du pitch.,"entrepreneuriat,glossaire"
ent-0007,Entrepreneuriat,entrepreneuriat,facile,Une entreprise vend 400 produits a 250 FCFA l'unite. Quel est son chiffre d'affaires ?,50 000 FCFA,200 000 FCFA,100 000 FCFA,10 000 FCFA,C,100,20,Chiffre d'affaires = prix x quantite = 250 FCFA x 400 = 100 000 FCFA.,"entrepreneuriat,calcul,chiffre-affaires"
ent-0008,Entrepreneuriat,entrepreneuriat,facile,Que signifie le sigle TPE dans le monde de l'entreprise ?,Tres Petite Entreprise,Optimisation pour les moteurs de recherche,Indication Geographique Protegee,Fonds National de l'Emploi,A,100,20,TPE : Tres Petite Entreprise.,"entrepreneuriat,sigles"
ent-0009,Entrepreneuriat,entrepreneuriat,moyen,Que designe le positionnement d'une marque ?,Son rang au registre du commerce,La place qu'elle occupe dans l'esprit du client face aux concurrents,Son classement fiscal,Sa position geographique,B,200,25,"Le positionnement est une perception, pas un lieu.","entrepreneuriat,marketing"
ent-0010,Entrepreneuriat,entrepreneuriat,facile,Dans quel secteur d'activite Facebook s'est-elle developpee ?,L'equipement sportif,Les reseaux sociaux,Le divertissement,Le textile,B,100,20,Facebook intervient dans : les reseaux sociaux.,"entrepreneuriat,figures"
ent-0011,Entrepreneuriat,entrepreneuriat,moyen,Comment appelle-t-on ceci : Un acteur externe indispensable au fonctionnement du modele economique ?,un partenaire cle,un appel a projets,un compte bancaire professionnel,l'echec entrepreneurial,A,200,25,Il s'agit d'un partenaire cle.,"entrepreneuriat,glossaire"
ent-0012,Entrepreneuriat,entrepreneuriat,moyen,Comment appelle-t-on ceci : La prise en compte des enjeux sociaux et environnementaux par l'entreprise ?,un delai de livraison,un devis,la procrastination,la RSE,D,200,25,Il s'agit de la RSE.,"entrepreneuriat,glossaire"
ent-0013,Entrepreneuriat,entrepreneuriat,moyen,"En entrepreneuriat, que designe la logistique ?",L'organisation des flux de marchandises et d'informations,Un groupement d'interet economique qui met en commun des moyens,Un entrepreneur experimente qui conseille un porteur de projet,Le fait d'associer les employes au capital de l'entreprise,A,200,25,La logistique : l'organisation des flux de marchandises et d'informations.,"entrepreneuriat,glossaire"
ent-0014,Entrepreneuriat,entrepreneuriat,challenge,"En entrepreneuriat, que designe un franchise ?",Le tableau qui prevoit mois par mois les entrees et sorties d'argent,La forme legale choisie pour exercer une activite,Une entreprise qui exploite la marque et le savoir-faire d'un franchiseur,Un outil de gestion de la relation client,C,300,30,Un franchise : une entreprise qui exploite la marque et le savoir-faire d'un franchiseur.,"entrepreneuriat,glossaire"
ent-0015,Entrepreneuriat,entrepreneuriat,moyen,"En entrepreneuriat, que designe un echeancier ?",Le calendrier des remboursements d'un credit,Une somme avancee par une banque et remboursee avec interets,La capacite a inspirer et a entrainer une equipe vers un objectif,Une entreprise qui propose une offre similaire aux memes clients,A,200,25,Un echeancier : le calendrier des remboursements d'un credit.,"entrepreneuriat,glossaire"
ent-0016,Entrepreneuriat,entrepreneuriat,challenge,Quelle strategie de prix consiste a entrer sur le marche avec un prix bas pour gagner vite des clients ?,La strategie de penetration,La strategie de niche,La strategie d'ecremage,La strategie de diversification,A,300,30,La penetration vise le volume.,"entrepreneuriat,marketing"
ent-0017,Entrepreneuriat,entrepreneuriat,facile,Comment appelle-t-on ceci : La forme legale choisie pour exercer une activite ?,la procrastination,la formalisation,un avoir,un statut juridique,D,100,20,Il s'agit d'un statut juridique.,"entrepreneuriat,glossaire"
ent-0018,Entrepreneuriat,entrepreneuriat,moyen,Qu'est-ce que le credit fournisseur ?,Un pret accorde par un client,Une action en bourse,Une subvention de l'Etat,Le delai de paiement accorde par un fournisseur,D,200,25,Le credit fournisseur finance le cycle d'exploitation.,"entrepreneuriat,financement"
ent-0019,Entrepreneuriat,entrepreneuriat,moyen,Comment appelle-t-on ceci : Le comptage physique des marchandises detenues ?,un client,un incoterm,un inventaire,un GIE,C,200,25,Il s'agit d'un inventaire.,"entrepreneuriat,glossaire"
ent-0020,Entrepreneuriat,entrepreneuriat,challenge,"Un produit est achete 8 000 FCFA et vendu 10 000 FCFA. Quel est le taux de marge, calcule sur le prix de vente ?",20 %,10 %,25 %,30 %,A,300,30,Taux de marge = (PV - PA) / PV x 100 = 20 %.,"entrepreneuriat,calcul,marge"
ent-0021,Entrepreneuriat,entrepreneuriat,moyen,Un client vous demande un delai de paiement de 90 jours alors que vous payez vos fournisseurs comptant. Quel est le risque ?,Une amelioration immediate de votre image,Un manque de tresorerie pour financer votre activite,Une reduction de vos impots,Une hausse automatique de vos benefices,B,200,25,Le decalage entre encaissements et decaissements cree un besoin de financement.,"entrepreneuriat,mise-en-situation"
ent-0022,Entrepreneuriat,entrepreneuriat,moyen,Comment appelle-t-on ceci : La feuille de route qui organise le developpement de l'activite ?,un influenceur,un impaye,un plan de croissance,un accelerateur,C,200,25,Il s'agit d'un plan de croissance.,"entrepreneuriat,glossaire"
ent-0023,Entrepreneuriat,entrepreneuriat,moyen,Quel salon annuel de Yaounde met en valeur les entreprises camerounaises ?,Promote,Le Ngondo,Le SIAO,Le FESPACO,A,200,25,Promote est un grand rendez-vous du secteur prive.,"entrepreneuriat,cameroun"
ent-0024,Entrepreneuriat,entrepreneuriat,moyen,Vous constatez que vos concurrents communiquent beaucoup sur les reseaux et vous pas du tout. Que faire ?,Ne rien faire,Payer pour de faux abonnes,Choisir un ou deux canaux adaptes a votre cible et publier regulierement,Ouvrir dix comptes et n'en animer aucun,C,200,25,Mieux vaut un canal bien tenu que dix abandonnes.,"entrepreneuriat,mise-en-situation"
ent-0025,Entrepreneuriat,entrepreneuriat,moyen,Quelle source de financement ne demande aucun remboursement ?,Le credit fournisseur,La subvention,Le pret bancaire,Le credit-bail,B,200,25,La subvention est une aide non remboursable.,"entrepreneuriat,financement"
ent-0026,Entrepreneuriat,entrepreneuriat,facile,Votre produit est bon mais personne ne le connait. Quel est le probleme principal ?,Un manque de visibilite et de communication ciblee,Un exces de qualite,Un nombre d'associes insuffisant,Un prix trop bas uniquement,A,100,20,Un bon produit invisible ne se vend pas.,"entrepreneuriat,mise-en-situation"
ent-0027,Entrepreneuriat,entrepreneuriat,challenge,"Un entrepreneur emprunte 2 500 000 FCFA sur 20 mois, avec un interet simple de 9 % par an. Quelle est approximativement la mensualite a rembourser ?",125 000 FCFA,143 750 FCFA,2 875 000 FCFA,287 500 FCFA,B,300,30,"Total du = 2 500 000 FCFA + 375 000 FCFA d'interets, soit 143 750 FCFA par mois.","entrepreneuriat,calcul,financement"
ent-0028,Entrepreneuriat,entrepreneuriat,moyen,Pourquoi ecouter davantage que parler lors d'un entretien client ?,Parce que les clients n'aiment pas les questions,Parce que le client revele ses besoins reels quand on le laisse s'exprimer,Parce que parler est interdit,Parce que le silence fait vendre seul,B,200,25,L'ecoute active revele les besoins.,"entrepreneuriat,posture"
ent-0029,Entrepreneuriat,entrepreneuriat,facile,Une commercante achete un article a 350 FCFA et le revend a 500 FCFA. Quelle est sa marge sur une unite vendue ?,150 FCFA,75 FCFA,350 FCFA,850 FCFA,A,100,20,Marge = prix de vente - prix d'achat = 500 FCFA - 350 FCFA = 150 FCFA.,"entrepreneuriat,calcul,marge"
